Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;;Total;2021;47.385.107
Total;;Total;2020;47.450.795
Total;;Total;2019;47.026.208
Total;;Total;2018;46.722.980
Total;;Total;2017;46.572.132
Total;;Total;2016;46.557.008
Total;;Total;2015;46.624.382
Total;;Total;2014;46.771.341
Total;;Total;2013;47.129.783
Total;;Total;2012;47.265.321
Total;;Total;2011;47.190.493
Total;;Total;2010;47.021.031
Total;;Total;2009;46.745.807
Total;;Total;2008;46.157.822
Total;;Total;2007;45.200.737
Total;;Total;2006;44.708.964
Total;;Total;2005;44.108.530
Total;;Total;2004;43.197.684
Total;;Total;2003;42.717.064
Total;;Total;2002;41.837.894
Total;;Total;2001;41.116.842
Total;;Total;2000;40.499.791
Total;;Total;1999;40.202.160
Total;;Total;1998;39.852.651
Total;;Total;1997;""
Total;;Total;1996;39.669.394
Total;;Hombres;2021;23.222.953
Total;;Hombres;2020;23.255.590
Total;;Hombres;2019;23.042.428
Total;;Hombres;2018;22.896.602
Total;;Hombres;2017;22.832.861
Total;;Hombres;2016;22.843.610
Total;;Hombres;2015;22.890.383
Total;;Hombres;2014;22.985.676
Total;;Hombres;2013;23.196.386
Total;;Hombres;2012;23.298.356
Total;;Hombres;2011;23.283.187
Total;;Hombres;2010;23.226.185
Total;;Hombres;2009;23.116.988
Total;;Hombres;2008;22.847.737
Total;;Hombres;2007;22.339.962
Total;;Hombres;2006;22.100.466
Total;;Hombres;2005;21.780.869
Total;;Hombres;2004;21.285.247
Total;;Hombres;2003;21.034.326
Total;;Hombres;2002;20.564.089
Total;;Hombres;2001;20.165.514
Total;;Hombres;2000;19.821.384
Total;;Hombres;1999;19.670.642
Total;;Hombres;1998;19.488.465
Total;;Hombres;1997;""
Total;;Hombres;1996;19.399.549
Total;;Mujeres;2021;24.162.154
Total;;Mujeres;2020;24.195.205
Total;;Mujeres;2019;23.983.780
Total;;Mujeres;2018;23.826.378
Total;;Mujeres;2017;23.739.271
Total;;Mujeres;2016;23.713.398
Total;;Mujeres;2015;23.733.999
Total;;Mujeres;2014;23.785.665
Total;;Mujeres;2013;23.933.397
Total;;Mujeres;2012;23.966.965
Total;;Mujeres;2011;23.907.306
Total;;Mujeres;2010;23.794.846
Total;;Mujeres;2009;23.628.819
Total;;Mujeres;2008;23.310.085
Total;;Mujeres;2007;22.860.775
Total;;Mujeres;2006;22.608.498
Total;;Mujeres;2005;22.327.661
Total;;Mujeres;2004;21.912.437
Total;;Mujeres;2003;21.682.738
Total;;Mujeres;2002;21.273.805
Total;;Mujeres;2001;20.951.328
Total;;Mujeres;2000;20.678.407
Total;;Mujeres;1999;20.531.518
Total;;Mujeres;1998;20.364.186
Total;;Mujeres;1997;""
Total;;Mujeres;1996;20.269.845
Total;01 Andalucía;Total;2021;8.472.407
Total;01 Andalucía;Total;2020;8.464.411
Total;01 Andalucía;Total;2019;8.414.240
Total;01 Andalucía;Total;2018;8.384.408
Total;01 Andalucía;Total;2017;8.379.820
Total;01 Andalucía;Total;2016;8.388.107
Total;01 Andalucía;Total;2015;8.399.043
Total;01 Andalucía;Total;2014;8.402.305
Total;01 Andalucía;Total;2013;8.440.300
Total;01 Andalucía;Total;2012;8.449.985
Total;01 Andalucía;Total;2011;8.424.102
Total;01 Andalucía;Total;2010;8.370.975
Total;01 Andalucía;Total;2009;8.302.923
Total;01 Andalucía;Total;2008;8.202.220
Total;01 Andalucía;Total;2007;8.059.461
Total;01 Andalucía;Total;2006;7.975.672
Total;01 Andalucía;Total;2005;7.849.799
Total;01 Andalucía;Total;2004;7.687.518
Total;01 Andalucía;Total;2003;7.606.848
Total;01 Andalucía;Total;2002;7.478.432
Total;01 Andalucía;Total;2001;7.403.968
Total;01 Andalucía;Total;2000;7.340.052
Total;01 Andalucía;Total;1999;7.305.117
Total;01 Andalucía;Total;1998;7.236.459
Total;01 Andalucía;Total;1997;""
Total;01 Andalucía;Total;1996;7.234.873
Total;01 Andalucía;Hombres;2021;4.173.339
Total;01 Andalucía;Hombres;2020;4.170.605
Total;01 Andalucía;Hombres;2019;4.147.167
Total;01 Andalucía;Hombres;2018;4.133.898
Total;01 Andalucía;Hombres;2017;4.133.835
Total;01 Andalucía;Hombres;2016;4.139.194
Total;01 Andalucía;Hombres;2015;4.144.532
Total;01 Andalucía;Hombres;2014;4.148.701
Total;01 Andalucía;Hombres;2013;4.170.654
Total;01 Andalucía;Hombres;2012;4.180.285
Total;01 Andalucía;Hombres;2011;4.169.634
Total;01 Andalucía;Hombres;2010;4.144.856
Total;01 Andalucía;Hombres;2009;4.113.383
Total;01 Andalucía;Hombres;2008;4.071.500
Total;01 Andalucía;Hombres;2007;3.999.243
Total;01 Andalucía;Hombres;2006;3.958.565
Total;01 Andalucía;Hombres;2005;3.889.605
Total;01 Andalucía;Hombres;2004;3.800.208
Total;01 Andalucía;Hombres;2003;3.757.370
Total;01 Andalucía;Hombres;2002;3.687.421
Total;01 Andalucía;Hombres;2001;3.647.194
Total;01 Andalucía;Hombres;2000;3.609.412
Total;01 Andalucía;Hombres;1999;3.592.680
Total;01 Andalucía;Hombres;1998;3.558.950
Total;01 Andalucía;Hombres;1997;""
Total;01 Andalucía;Hombres;1996;3.559.436
Total;01 Andalucía;Mujeres;2021;4.299.068
Total;01 Andalucía;Mujeres;2020;4.293.806
Total;01 Andalucía;Mujeres;2019;4.267.073
Total;01 Andalucía;Mujeres;2018;4.250.510
Total;01 Andalucía;Mujeres;2017;4.245.985
